survey_id,site_code,survey_date,time_start,time_end,observer,code,common_name,distance,bird_count,observation_notes,seen,heard,direction,qccomment
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,BTSP,Black-throated Sparrow,20-40,2,,False,True,S,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,BTSP,Black-throated Sparrow,10-20,1,,False,True,S,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,GIFL,Gilded Flicker,40+,1,,False,True,S,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,CACW,Cactus Wren,40+,2,,False,True,NE,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,GIFL,Gilded Flicker,40+,1,,False,True,E,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,LENI,Lesser Nighthawk,20-40,1,,True,False,N,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,GIWO,Gila Woodpecker,20-40,1,,False,True,E,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,CACW,Cactus Wren,10-20,1,,True,True,E,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,SAPH,Say's Phoebe,20-40,1,,False,True,S,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,LENI,Lesser Nighthawk,FT,1,,True,False,N,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,WWDO,White-winged Dove,FT,1,,True,False,S,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,NRWS,Northern Rough-winged Swallow,FT,1,,True,False,SW,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,TUVU,Turkey Vulture,FT,1,,True,False,N,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,CBTH,Curve-billed Thrasher,40+,1,,False,True,S,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,CACW,Cactus Wren,40+,1,,False,True,SE,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,ATFL,Ash-throated Flycatcher,10-20,1,,False,True,S,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,BTGN,Black-tailed Gnatcatcher,40+,1,,False,True,W,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,ATFL,Ash-throated Flycatcher,FT,1,,True,False,W,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,LENI,Lesser Nighthawk,20-40,1,,True,False,W,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,WWDO,White-winged Dove,FT,1,,True,False,W,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,BTSP,Black-throated Sparrow,10-20,1,,True,True,SW,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,CACW,Cactus Wren,10-20,1,,True,True,W,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,ATFL,Ash-throated Flycatcher,10-20,1,,True,False,SW,
112,AF-12,2000-08-03,08:40:00,08:55:00,DiSt,BTGN,Black-tailed Gnatcatcher,20-40,1,,False,True,SE,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,WWDO,White-winged Dove,FT,1,,True,False,SW,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,BTGN,Black-tailed Gnatcatcher,10-20,1,,False,True,W,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,BTSP,Black-throated Sparrow,5-10,1,,True,True,S,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,GAQU,Gambel's Quail,20-40,2,,False,True,NE,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,GIFL,Gilded Flicker,40+,1,,False,True,N,
121,AD-10,2000-08-03,07:35:00,07:50:00,BeRa,BTGN,Black-tailed Gnatcatcher,20-40,2,,False,True,SW,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,BTSP,Black-throated Sparrow,40+,2,,False,True,NE,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,CBTH,Curve-billed Thrasher,20-40,2,,False,True,S,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,BTGN,Black-tailed Gnatcatcher,40+,2,,False,True,S,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,MODO,Mourning Dove,FT,3,,True,False,N,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,GIWO,Gila Woodpecker,40+,1,,False,True,S,
